"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code"
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","1","| S000. Opening Slide for Sales Order Line Entry Deck","S000. Opening Slide for Sales Order Line Entry Deck","S000","Opening Slide for Sales Order Line Entry Deck","/images/LineEnt2/S000.png","","S001",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","2","S001. About Scott Electric and Welcome to Training","S001. About Scott Electric and Welcome to Training","S001","About Scott Electric and Welcome to Training","/images/LineEnt2/S001.png","","S002",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","3","S002.  Quote to Cash Work Flow At SE Electrical Distribution","S002. Quote to Cash Work Flow At SE Electrical Distribution","S002","Quote to Cash Work Flow At SE Electrical Distribution","/images/LineEnt2/S002.png","","S003",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","4","S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution","S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution","S003","Pictorial representation of Quote to Cash","/images/LineEnt2/S003.png","","M1",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","5","M1.  Sales Order  Line Entry - At SE Electrical Distribution","M1. Sales Order Line Entry - At SE Electrical Distribution","M1","Sales Order Line Entry","/images/LineEnt2/M1.png","","D1",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","6","D1.  A decision on  whether the user want to enter lines  using “Easy” entry - At SE Electrical Distribution","D1. A decision on whether the user want to enter lines using ""Easy"" entry - At SE Electrical Distribution","D1","A decision on whether the user want to enter lines using ""Easy"" entry","/images/LineEnt2/D1.png","","Y1","N1"
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","7","Y1.  User has selected  Easy entry - At SE Electrical Distribution","Y1. User has selected Easy entry - At SE Electrical Distribution","Y1","User has selected Easy entry","/images/LineEnt2/Y1.png","","S1",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","8","S1. Easy Line entry Selected- At SE Electrical Distribution","S1. Easy Line entry Selected- At SE Electrical Distribution","S1","Easy Line entry Selected","/images/LineEnt2/S1.png","","S2",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","9","S2. Search Products to add - At SE Electrical Distribution","S2. Search Products to add - At SE Electrical Distribution","S2","Search Products to add","/images/LineEnt2/S2.png","","S3",""
"SE_SLS_Enter_line_Opt2_251210_0901.pptx","10","S3. Enter the Quantity required - At SE Electrical Distribution","S3. Enter the Quantity required - At SE Electrical Distribution","S3","Enter the Quantity required","/images/LineEnt2/S3.png","","S4",""
