Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label
SE_SLS_Enter_line_Opt2_251210_0901.pptx,1,S000. Opening Slide for Sales Order Line Entry Deck,S000. Opening Slide for Sales Order Line Entry Deck,S000,Opening Slide for Sales Order Line Entry Deck,/images/LineEnt2/S000.png,,S001,,,Opening Slide for Sales Order Line Entry Deck.,Go to About Scott Electric and Welcome to Training,,,Opening Slide for Sales Order Line Entry Deck.,S000. Opening Slide for Sales Order Line Entry Deck â€” this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow,,,Yes,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,2,S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,/images/LineEnt2/S001.png,,S002,,,About Scott Electric and Welcome to Training.,Go to Quote to Cash Work Flow At SE Electrical Distribution,,,About Scott Electric and Welcome to Training.,"S001. About Scott Electric and Welcome to Training â€” Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects. Welcome to the Scott Electric Training Site_x000B_Welcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day â€” in sales, operations, service, administration, and support._x000B_Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,3,S002.  Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,/images/LineEnt2/S002.png,,S003,,,Quote to Cash Work Flow At SE Electrical Distribution.,Go to Pictorial representation of Quote to Cash,,,Quote to Cash Work Flow At SE Electrical Distribution.,S002. Quote to Cash Work Flow At SE Electrical Distribution â€” This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first,,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,/images/LineEnt2/S003.png,,M1,,,Pictorial representation of Quote to Cash.,Go to Sales Order Line Entry,,,Pictorial representation of Quote to Cash.,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution â€” This slide is aptly named The Pictorial Representation of Quote to Cash at Scott Electric the distribution business While this light is the precursor to the focused area of Quote to cache the picture shows how the various phases within that task is directly or indirectly affecting other components within the system for example an inventory is consumed the inventory has to be replenished and that is done by the procure to pay cycle Similarly because a sales occurred there has to be accounting for the sale and also at the end of the day collection of the payment against the invoice so hence that goes into the financial side of the impact now because inventory is being both consumed replenished and in some cases being procured and directly shipped to the customer that has a direct impact on how the inventory is managed within the system,,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,5,M1.  Sales Order  Line Entry - At SE Electrical Distribution,M1. Sales Order Line Entry - At SE Electrical Distribution,M1,Sales Order Line Entry,/images/LineEnt2/M1.png,,D1,,,Sales Order Line Entry.,"Go to A decision on whether the user want to enter lines using ""Easy"" entry",,,Sales Order Line Entry.,"M1. Sales Order Line Entry - At SE Electrical Distribution â€” Use these instructions to enter a Stock Order (SO) for a customer. Select Sales > Entry > Order. Select Stock Order in the Order Type field. Complete the remaining fields on the page, and then click Next. Add line items. See Line entry modes. Click Taxes and Totals. Verify or complete the tax information. Apply any discounts or addons. Click Recalculate to update the order total. Optionally, click Freight Rate Shop to view shipping options. Click Collect Payment. Complete the payment information. If you are accepting a cash, check, or credit card payment, verify the journal settings and then click OK. Click Save to complete the order.",,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,6,D1.  A decision on  whether the user want to enter lines  using “Easy” entry - At SE Electrical Distribution,"D1. A decision on whether the user want to enter lines using ""Easy"" entry - At SE Electrical Distribution",D1,"A decision on whether the user want to enter lines using ""Easy"" entry",/images/LineEnt2/D1.png,,Y1,N1,,"A decision on whether the user want to enter lines using ""Easy"" entry.",Go to User has selected Easy entry,"Go to No, the user is not using Easy line Entry",,"A decision on whether the user want to enter lines using ""Easy"" entry.",D1. A decision on whether the user want to enter lines using â€œEasyâ€ entry - At SE Electrical Distribution â€” The user is about to enter the order lines and is faced with the decision on which order entry method best suits the current order Hence the question is asked would you like to use Easy order entry,,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,7,Y1.  User has selected  Easy entry - At SE Electrical Distribution,Y1. User has selected Easy entry - At SE Electrical Distribution,Y1,User has selected Easy entry,/images/LineEnt2/Y1.png,,S1,,,User has selected Easy entry.,Go to Easy Line entry Selected,,,User has selected Easy entry.,"Y1. User has selected Easy entry â€” User has opted to use the easy line entry Easy Use this mode to conduct a global search for a product. You can use values such as cross-reference values and the product description to search a product. You can add a single line item or multiple line items to the order in this mode. If you specify a price before dropping the line to the grid, it is treated as a price override. The price that is entered is used regardless of what is set up on the Product Setup or Product Warehouse Product Setup record. Note: Pricing logic is not initiated when you select products in Easy Line Entry mode. If you use PD Pricing Setup records to set pricing and discounts for most of your products, you can enable alerts about products with associated PD records. Select the Check for Non-Standard Products in Easy and Quick Line Entry option in Sales Order Entry-Order Entry Defaults.",,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,8,S1. Easy Line entry Selected- At SE Electrical Distribution,S1. Easy Line entry Selected- At SE Electrical Distribution,S1,Easy Line entry Selected,/images/LineEnt2/S1.png,,S2,,,Easy Line entry Selected.,Go to Search Products to add,,,Easy Line entry Selected.,"S1. Easy Line entry Selected- â€” Easy Use this mode to conduct a global search for a product. You can use values such as cross-reference values and the product description to search a product. You can add a single line item or multiple line items to the order in this mode. If you specify a price before dropping the line to the grid, it is treated as a price override. The price that is entered is used regardless of what is set up on the Product Setup or Product Warehouse Product Setup record. Note: Pricing logic is not initiated when you select products in Easy Line Entry mode. If you use PD Pricing Setup records to set pricing and discounts for most of your products, you can enable alerts about products with associated PD records. Select the Check for Non-Standard Products in Easy and Quick Line Entry option in Sales Order Entry-Order Entry Defaults. some things to note about easy line entry The price that is displayed is based on product records. You can select Check for Non-Standard Products in Easy and Quick Line Entry in Sales Order Entry-Order Entry Defaults to receive alerts about promotional products that are set up in PD Pricing Setup and other non-standard and restricted products. Hold your mouse over the warning or error icon to view messages. You cannot add products with errors to the order.",,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,9,S2. Search Products to add - At SE Electrical Distribution,S2. Search Products to add - At SE Electrical Distribution,S2,Search Products to add,/images/LineEnt2/S2.png,,S3,,,Search Products to add.,Go to Enter the Quantity required,,,Search Products to add.,"S2. Search Products to add - â€” During line entry products are searched in the easy mode the search option is Product and within that typing a few characters from the product will bring up matching list and will show you the quantity on hand under :in stock""",,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
SE_SLS_Enter_line_Opt2_251210_0901.pptx,10,S3. Enter the Quantity required - At SE Electrical Distribution,S3. Enter the Quantity required - At SE Electrical Distribution,S3,Enter the Quantity required,/images/LineEnt2/S3.png,,S4,,,Enter the Quantity required.,Go to Add additional product to Sales order,,,Enter the Quantity required.,S3. Enter the Quantity required â€” Before entering the quantity ensure that the product is available so the delivery requirements of the customer are met,,,No,SE,Distro,Sales,,outputs/faq,LineEnt2_FAQ.html,FAQ & Tips,,,
