Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,1,S000. Opening Slide for PPS – Service – PMA Process,S000. Opening Slide for PPS - Service - PMA Process,S000,Opening Slide for PPS,../images/PMA/S000.png,,S001,,,Opening Slide for PPS.,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. ",,,Yes,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,2,S001. About Palco Power Systems and Scott Electric and  a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/PMA/S001.png,,S002,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,Parts Personnel Technicians Manufacturer's Guide,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",,,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,3,S002. Palco Power Systems  Service to Cash Work Flow  ,Palco Power Systems  Service to Cash Work Flow ,S002,Parts Personnel Technicians Manufacturer's Guide,../images/PMA/S002.png,,S003,,,Parts Personnel Technicians Manufacturer's Guide.,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash,,,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it ",,,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,4,S003. Pictorial representation of  Quote/ Service Request  to Cash similar to Quote  to Cash   - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash,../images/PMA/S003.png,,M1,,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash.,PMA SOP  The PMA SOP covers the creation of a Preventive Maintenance agreement ,,,Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash. he process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.,"This slide depicts the process from Identifying a need for a new PMA Preventive Maintenance Agreement. In the mid 1900 's it used also go by the name Planned Maintenance Schedule. However that was retired as it did not convey the fact that it is a contractual agreement.  The process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.
from that point the process traverses the creation of a customized contract for the owner , followed by setting  up schedule that satisfies the customer and our terms of the agreement , followed by creation of the SRO , finally when the time is right scheduling a technician , then the technician services the unit as per the tasks laid out in the SRO, finally an invoice is generated and as per the terms payment is collected. Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash.",,,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,5,M1. PMA SOP  - PPS Service Rental,M1. PMA SOP - PPS Service Rental,M1,PMA SOP  The PMA SOP covers the creation of a Preventive Maintenance agreement ,../images/PMA/M1.png,,S004,,,PMA SOP.,PMA start with contact from or to a customer,,,The PMA SOP covers the creation of a Preventive Maintenance agreement for a newly installed or older unit to take the necessary steps to maintain or improve the reliability of the standby generator.,The PMA SOP covers the creation of a Preventive Maintenance agreement for a newly installed or older unit to take the necessary steps to maintain or improve the reliability of the standby generator.,,,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,6,S004. PMA start with contact from or to a customer  - PPS Service Rental,S004. PMA start with contact from or to a customer - PPS Service Rental,S004,PMA start with contact from or to a customer,../images/PMA/S004.png,,S1,,,PMA start with contact from or to a customer.,A Customer and Unit specific contract is Created,,,The process begins with a contact from or two a customer about their recently or previously installed generator ,The process begins with a contact from or two a customer about their recently or previously installed generator ,,,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,7,S1. A Customer and Unit specific contract is Created  - PPS Service Rental,S1. A Customer and Unit specific contract is Created - PPS Service Rental,S1,A Customer and Unit specific contract is Created,../images/PMA/S1.png,,S2,,,A Customer and Unit specific contract is Created.,Contract Maintenance Schedule is prepared,,,"A Customer and Unit specific contract is Created.The PMA contract is tailored to meet many parameterssome which are kind of generator,  its expected use cycle, the criticallity of the need (eg a home with person needing power to support various life sustaining equipment) to a convenience factor etc,","The PMA contract is tailored to meet many parameterssome which are kind of generator,  its expected use cycle, the criticallity of the need (eg a home with person needing power to support various life sustaining equipment) to a convenience factor etc, expected hours of operation and last but not the least the type of fuel and environment of operation. the contract goes through a propose, educated and finalize cycle and an agreement is signed by the customer. The next steps are to structure with billing etc. Finally whne the agreed month of service just around the corner(next month) the service department identifies these contract drvien services and schedules them to meet the customers availability etc. ",01_Create PMA Contract,https://scottelectricusa.uap.infor.com/#/content/f5d58483-42d2-4082-adb9-84bfd1d465c3?contextId=ca041c51-7d20-4968-a052-7f7139b6e066&bypassGroupFiltering=false,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,8,S2. Contract Maintenance Schedule is prepared - PPS Service Rental,S2. Contract Maintenance Schedule is prepared - PPS Service Rental,S2,Contract Maintenance Schedule is prepared,../images/PMA/S2.png,,S3,,,Contract Maintenance Schedule is prepared.,Fixed billing total is entered,,,Contract Maintenance Schedule is prepared.As mentioned eralier based on the identifed actors the sro's scheduled in the following month are identified around the mid of prior month and scheduled. The scheduling has to take into account tyoe of unit type service proosed and certification of the tech.,As mentioned eralier based on the identifed actors the sro's scheduled in the following month are identified around the mid of prior month and scheduled. The scheduling has to take into account tyoe of unit type service proosed and certification of the tech.,02_Add PMA Contract Lines,https://scottelectricusa.uap.infor.com/#/content/abeaf4ff-1a17-4505-9a78-411328ab525c?contextId=ca041c51-7d20-4968-a052-7f7139b6e066&bypassGroupFiltering=false,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,9,S3. Fixed billing total is entered  - PPS Service Rental,S3. Fixed billing total is entered - PPS Service Rental,S3,Fixed billing total is entered,../images/PMA/S3.png,,S4,,,Fixed billing total is entered.,Contract SRO generator is run at mid month,,,The billing based on terms and periodicity is intitiated and an invoice is raised and paid for by the customer,The billing based on terms and periodicity is intitiated and an invoice is raised and paid for by the customer,04_Bill Contract,https://scottelectricusa.uap.infor.com/#/content/29d79b72-7738-4304-a95e-a4a9ad9c6fa0?contextId=ca041c51-7d20-4968-a052-7f7139b6e066&bypassGroupFiltering=false,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_PMA_12232025-1257.pptx,10,S4. Contract SRO generator is run at mid month - PPS Service Rental,S4. Contract SRO generator is run at mid month - PPS Service Rental,S4,Contract SRO generator is run at mid month,../images/PMA/S4.png,,S5,,,Contract SRO generator is run at mid month.,SRO Service Request Order is generated for all PMA for next month,,,The identified SRo is scheduled in this step and this is identified a SOP in itself as there are many steps and many swimlanes in the process ,The identified SRo is scheduled in this step and this is identified a SOP in itself as there are many steps and many swimlanes in the process ,03_Generate SRO,https://scottelectricusa.uap.infor.com/#/content/3be0ee78-0a17-437e-b166-e89db8f7b83b?contextId=ca041c51-7d20-4968-a052-7f7139b6e066&bypassGroupFiltering=false,No,Palco,Service,PMA,,outputs/faq,PPS_PMA_faq.html,PMA related FAQ,,,
