"Source_PPT","SlideIndex","SelectionTitle","Title","Code","Title_short","Image_sub_url","Deci_Question","Next1_Code","Next2_Code","Image_web","Narr1_seed","Desc_Next1","Desc_Next2","Desi_Ques","Narr2_seed","Narr3_seed","UAP_Label","UAP_URL","Start_Here","Entity","Function","SubEntity","Exclude","FAQ_Loc","FAQ_File","FAQ_Label","Quiz_Loc","Quiz_File","Quiz_Label"
"PPS-Service-Rental 251221_10_23.pptx","1","| S000. Opening Slide for PPS – Service – Rental Process (Owned Fleet)","S000. Opening Slide for PPS - Service - Rental Process (Owned Fleet)","S000","Opening Slide for PPS","../images/Rental/S000.png","","S001","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","2","S001. About Palco Power Systems and Scott Electric and  a Welcome to Training","S001. About Palco Power Systems and Scott Electric and a Welcome to Training","S001","About Palco Power Systems and Scott Electric and a Welcome to Training","../images/Rental/S001.png","","S002","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","3","S002.  Palco Power Systems – Service to Cash Work Flow","S002. Palco Power Systems - Service to Cash Work Flow","S002","Palco Power Systems","../images/Rental/S002.png","","S003","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","4","S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service","S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service","S003","Pictorial representation of Quote to Cash similar to Service to Cash","../images/Rental/S003.png","","M1","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","5","M1. Rental SOP  - PPS Service Rental","M1. Rental SOP - PPS Service Rental","M1","Rental SOP","../images/Rental/M1.png","","S1","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","6","S1. Customer Places an order for a Rental Unit - PPS Service Rental","S1. Customer Places an order for a Rental Unit - PPS Service Rental","S1","Customer Places an order for a Rental Unit","../images/Rental/S1.png","","S2","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","7","S2. Create Rental Contract - PPS Service Rental","S2. Create Rental Contract - PPS Service Rental","S2","Create Rental Contract","../images/Rental/S2.png","","D1","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","8","D1. Decision Is a unit in Our Fleet available - PPS Service Rental","D1. Decision Is a unit in Our Fleet available - PPS Service Rental","D1","Decision Is a unit in Our Fleet available","../images/Rental/D1.png","","Y1","N1",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","9","Y1. Yes, Our Fleet unit is available - PPS Service Rental","Y1. Yes, Our Fleet unit is available - PPS Service Rental","Y1","Yes, Our Fleet unit is available","../images/Rental/Y1.png","","S4","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","10","S4. Add the Owned unit to the contract- PPS Service Rental","S4. Add the Owned unit to the contract- PPS Service Rental","S4","Add the Owned unit to the contract","../images/Rental/S4.png","","S8","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","11","S8. Change or Check Billing details - PPS Service Rental","S8. Change or Check Billing details - PPS Service Rental","S8","Change or Check Billing details","../images/Rental/S8.png","","D2","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","12","D2. Decision Are we Charging freight  - PPS Service Rental","D2. Decision Are we Charging freight - PPS Service Rental","D2","Decision Are we Charging freight","../images/Rental/D2.png","","Y2","N2",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","13","Y2. Yes we are Charging freight  - PPS Service Rental","Y2. Yes we are Charging freight - PPS Service Rental","Y2","Yes we are Charging freight","../images/Rental/Y2.png","","S9","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","14","S9. Add Freight to contract  - PPS Service Rental","S9. Add Freight to contract - PPS Service Rental","S9","Add Freight to contract","../images/Rental/S9.png","","S10","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","15","S10. Print Rental Agreement - PPS Service Rental","S10. Print Rental Agreement - PPS Service Rental","S10","Print Rental Agreement","../images/Rental/S10.png","","S11","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","16","S11. Check out Rental unit - PPS Service Rental","S11. Check out Rental unit - PPS Service Rental","S11","Check out Rental unit","../images/Rental/S11.png","","S12","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","17","S12. Check in Rental unit  - PPS Service Rental","S12. Check in Rental unit - PPS Service Rental","S12","Check in Rental unit","../images/Rental/S12.png","","D3","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","18","D3. Is this a Re-Rent unit - PPS Service Rental","D3. Is this a Re-Rent unit - PPS Service Rental","D3","Is this a Re","../images/Rental/D3.png","","Y3","N3",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","19","Y3. Yes  this is a Re-Rent unit - PPS Service Rental","Y3. Yes this is a Re-Rent unit - PPS Service Rental","Y3","Yes this is a Re","../images/Rental/Y3.png","","S13","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","20","S13. Print Return Merchandise PO - PPS Service Rental","S13. Print Return Merchandise PO - PPS Service Rental","S13","Print Return Merchandise PO","../images/Rental/S13.png","","S14","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","21","S14. Receive Vendor Return Merchandise PO - PPS Service Rental","S14. Receive Vendor Return Merchandise PO - PPS Service Rental","S14","Receive Vendor Return Merchandise PO","../images/Rental/S14.png","","S15","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","22","S15. Close rental Contract  - PPS Service Rental","S15. Close rental Contract - PPS Service Rental","S15","Close rental Contract","../images/Rental/S15.png","","S15","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","23","S15. Close rental Contract  - PPS Service Rental","S15. Close rental Contract - PPS Service Rental","S15","Close rental Contract","../images/Rental/S15.png","","N1","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","24","N1. No we do not have one of our fleet generator available  - PPS Service Rental","N1. No we do not have one of our fleet generator available - PPS Service Rental","N1","No we do not have one of our fleet generator available","../images/Rental/N1.png","","S3","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","25","S3. Add a Re-Rent Item - PPS Service Rental","S3. Add a Re-Rent Item - PPS Service Rental","S3","Add a Re","../images/Rental/S3.png","","S5","",,,,,,,,,,,,,,,,,,,,
"PPS-Service-Rental 251221_10_23.pptx","26","S5. Raise Re-Rent PO - PPS Service Rental","S5. Raise Re-Rent PO - PPS Service Rental","S5","Raise Re","../images/Rental/S5.png","","S6","",,,,,,,,,,,,,,,,,,,,
