Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,1,S000. Opening Slide for PPS – Service – Tech Mobile Deck,S000. Opening Slide for PPS – Service – Tech Mobile Deck,S000,Opening Slide for PPS – Service – Tech Mobile Deck,../images/TechMobile/S000.png,,S001,,../images/TechMobile/S000.png,Opening Slide for PPS – Service – Tech Mobile Deck,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. ",,,Yes,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,2,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/TechMobile/S001.png,,S002,,../images/TechMobile/S001.png,About Palco Power Systems and Scott Electric and a Welcome to Training,Palco Power Systems – Service to Cash Work Flow,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,3,S002. Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems – Service to Cash Work Flow,S002,Palco Power Systems – Service to Cash Work Flow,../images/TechMobile/S002.png,,S003,,../images/TechMobile/S002.png,Palco Power Systems – Service to Cash Work Flow,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,,,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it Quote to cash",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,4,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,../images/TechMobile/S003.png,,M1,,../images/TechMobile/S003.png,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,Tech Mobile,,,Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash. he process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.,"This slide depicts the process from Identifying a need for a new PMA Preventive Maintenance Agreement. In the mid 1900 's it used also go by the name Planned Maintenance Schedule. However that was retired as it did not convey the fact that it is a contractual agreement.  The process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.
from that point the process traverses the creation of a customized contract for the owner , followed by setting  up schedule that satisfies the customer and our terms of the agreement , followed by creation of the SRO , finally when the time is right scheduling a technician , then the technician services the unit as per the tasks laid out in the SRO, finally an invoice is generated and as per the terms payment is collected. Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash.",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,5,M1. Tech Mobile,M1.   Tech Mobile,M1,Tech Mobile,../images/TechMobile/M1.png,,S1,,../images/TechMobile/M1.png,Tech Mobile,Appoint Scheduled for Technician - Tech Mobile – at PPS,,,,,07_Tech Mobile,https://scottelectricusa.uap.infor.com/#/folder/c1248d71-51e1-4a15-abad-767d693ec39b?bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,6,S1. Appoint Scheduled for Technician - Tech Mobile – at PPS,S1. Appoint Scheduled for Technician - Tech Mobile – at PPS,S1,Appoint Scheduled for Technician - Tech Mobile – at PPS,../images/TechMobile/S1.png,,S2,,../images/TechMobile/S1.png,Appoint Scheduled for Technician - Tech Mobile – at PPS,Technician clocks in and travels to Site- Tech Mobile – at PPS,,,"The technician is scheduled by the service department. These tasks could be a Startup, a break fix , a routine maintenance based on a PMA contract and everything in between. At this point the technician gets a list of the various jobs scheduled for him and pick the appropriate one","The technician is scheduled by the service department. These tasks could be a Startup, a break fix , a routine maintenance based on a PMA contract and everything in between. At this point the technician gets a list of the various jobs scheduled for him and pick the appropriate one",11_Schedule Service,https://scottelectricusa.uap.infor.com/#/content/6bb6bd8c-2c6f-46e0-a3d0-e97eed2f230b?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,7,S2. Technician clocks in and travels to Site- Tech Mobile – at PPS,S2. Technician clocks in and travels to Site- Tech Mobile – at PPS,S2,Technician clocks in and travels to Site- Tech Mobile – at PPS,../images/TechMobile/S2.png,,S3,,../images/TechMobile/S2.png,Technician clocks in and travels to Site- Tech Mobile – at PPS,Technician starts the on-site service - Tech Mobile – at PPS,,,Having selected the scheduled service call the technican clocks into trave to site to let the system record his travel time upon arrival at the site a clock out from travel and clock into the next step would be performed ,Having selected the scheduled service call the technican clocks into trave to site to let the system record his travel time upon arrival at the site a clock out from travel and clock into the next step would be performed ,01_Travel to Site,https://scottelectricusa.uap.infor.com/#/content/3b0b3eee-f689-4abc-9bfe-ec15d7d34539?contextId=c1248d71-51e1-4a15-abad-767d693ec39b&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,8,S3. Technician starts the on-site service - Tech Mobile – at PPS,S3. Technician starts the on-site service - Tech Mobile – at PPS,S3,Technician starts the on-site service - Tech Mobile – at PPS,../images/TechMobile/S3.png,,D1,,../images/TechMobile/S3.png,Technician starts the on-site service - Tech Mobile – at PPS,"A Decision, Is additional material needed ?- Tech Mobile – at PPS",,,as mentioned earlier the technicial has entered the fact that he has begun the service of the Generator ,as mentioned earlier the technicial has entered the fact that he has begun the service of the Generator ,02_Perform Site Work,https://scottelectricusa.uap.infor.com/#/content/e47949fc-cfa3-4307-a14b-2ba02a5f0593?contextId=c1248d71-51e1-4a15-abad-767d693ec39b&bypassGroupFiltering=false,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,9,"D1. A Decision, Is additional material needed ?- Tech Mobile – at PPS","D1. A Decision, Is additional material needed ?- Tech Mobile – at PPS",D1,"A Decision, Is additional material needed ?- Tech Mobile – at PPS",../images/TechMobile/D1.png,"A Decision, Is additional material needed ?- Tech Mobile – at PPS?",Y1,N1,../images/TechMobile/D1.png,"A Decision, Is additional material needed ?- Tech Mobile – at PPS","Yes, Additional material is needed - Tech Mobile – at PPS","No, Additional material is needed - Tech Mobile – at PPS","A Decision, Is additional material needed ?- Tech Mobile – at PPS?",To accommodate for changes at the site and to respond appropriately the question is asked if additional (not part of the plan ) is needed to complete this service. ,To accommodate for changes at the site and to respond appropriately the question is asked if additional (not part of the plan ) is needed to complete this service. ,,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\Tech\PPS_FF_Tech_Mobile_260112_1400.pptx,10,"Y1. Yes, Additional material is needed - Tech Mobile – at PPS","Y1. Yes, Additional material is needed - Tech Mobile – at PPS",Y1,"Yes, Additional material is needed - Tech Mobile – at PPS",../images/TechMobile/Y1.png,,S4,,../images/TechMobile/Y1.png,"Yes, Additional material is needed - Tech Mobile – at PPS",Additional material is added OPM - Tech Mobile – at PPS,,,"In this scenario the technician feels he needs additional material - fortunately it is available on his truck and cn be ""issued to the Job""","In this scenario the technician feels he needs additional material - fortunately it is available on his truck and cn be ""issued to the Job""",,,No,PALCO,Service,TechMobile,,../faq,PPS_TechMobile_faq.html,FAQ For Tech Mobile,,,
