Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Desc_Next1,Desc_Next2,Desi_Ques,Narr1_seed,Narr2_seed,Narr3_seed,Narr1,Narr2,Narr3,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,Image_web
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,1,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000,Opening Slide for PPS – Sales – Blanket Order Processing,../images/BlanketOrder/S000.png,,S001,,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS – Sales – Blanket Order Processing,,,Slide S000. Opening Slide for PPS – Sales – Blanket Order Processing — Opening Slide for PPS – Sales – Blanket Order Processing.,,,,,Yes,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S000.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,2,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/BlanketOrder/S001.png,,S002,,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,,,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Slide S001. About Palco Power Systems and Scott Electric and a Welcome to Training — About Palco Power Systems and Scott Electric and a Welcome to Training.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S001.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,3,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,../images/BlanketOrder/S002.png,,S003,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,,,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,,,Slide S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems — Palco Power Systems Service to Cash Work Flow – at Palco Power Systems.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S002.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,4,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,../images/BlanketOrder/S003.png,,M1,,Blanket Order Creation and Processing SOP - PPS Sales,,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,,,Slide S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service — Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S003.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,5,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1,Blanket Order Creation and Processing SOP - PPS Sales,../images/BlanketOrder/M1.png,,S1,,Contractor places an Order for a Generator- PPS Sales,,,Blanket Order Creation and Processing SOP - PPS Sales,,,Slide M1. Blanket Order Creation and Processing SOP - PPS Sales — Blanket Order Creation and Processing SOP - PPS Sales.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/M1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,6,S1. Contractor places an Order for a Generator- PPS Sales,S1. Contractor places an Order for a Generator- PPS Sales,S1,Contractor places an Order for a Generator- PPS Sales,../images/BlanketOrder/S1.png,,S2,,Create a Blanket Order using OPM - PPS Sales,,,Contractor places an Order for a Generator- PPS Sales,,,Slide S1. Contractor places an Order for a Generator- PPS Sales — Contractor places an Order for a Generator- PPS Sales.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,7,S2. Create a Blanket Order using OPM - PPS Sales,S2. Create a Blanket Order using OPM - PPS Sales,S2,Create a Blanket Order using OPM - PPS Sales,../images/BlanketOrder/S2.png,,D1,,Decision is the Generator a “Modified Build” ? - PPS Sales,,,Create a Blanket Order using OPM - PPS Sales,,,Slide S2. Create a Blanket Order using OPM - PPS Sales — Create a Blanket Order using OPM - PPS Sales.,,,01_Create a Blanket Order,https://scottelectricusa.uap.infor.com/#/content/eaababd2-d936-4c5e-b198-e33cd1c78a22?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345&bypassGroupFiltering=false,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S2.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,8,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1,Decision is the Generator a “Modified Build” ? - PPS Sales,../images/BlanketOrder/D1.png,Decision is the Generator a “Modified Build” ?,Y1,N1,"Yes, Generator is a “Modified Build” - PPS Sales","No, Generator is not a “Modified Build” - PPS Sales",Decision is the Generator a “Modified Build” ?,Decision is the Generator a “Modified Build” ? - PPS Sales,,,Slide D1. Decision is the Generator a “Modified Build” ? - PPS Sales — Decision is the Generator a “Modified Build” ? - PPS Sales.,,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/D1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,9,"Y1. Yes, Generator is a “Modified Build” - PPS Sales","Y1. Yes, Generator is a “Modified Build” - PPS Sales",Y1,"Yes, Generator is a “Modified Build” - PPS Sales",../images/BlanketOrder/Y1.png,,S3,,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,,,"Yes, Generator is a “Modified Build” - PPS Sales",,,"Slide Y1. Yes, Generator is a “Modified Build” - PPS Sales — Yes, Generator is a “Modified Build” - PPS Sales.",,,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/Y1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,10,S3. Create an order with a “Order as needed Stock Item” OPM - PPS Sales,S3. Create an order with a “Order as needed Stock Item” OPM - PPS Sales,S3,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,../images/BlanketOrder/S3.png,,S4,,Make the OAN item serialized OPM - PPS Sales,,,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,,,Slide S3. Create an order with a “Order as needed Stock Item” OPM - PPS Sales — Create an order with a “Order as needed Stock Item” OPM - PPS Sales.,,,09_Create Order as Needed Non Stock,https://scottelectricusa.uap.infor.com/#/content/bda7b62d-f8c7-4c18-a421-14573b577ab2?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345&bypassGroupFiltering=false,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S3.png
