Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Desc_Next1,Desc_Next2,Desi_Ques,Narr1_seed,Narr2_seed,Narr3_seed,Narr1,Narr2,Narr3,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,Image_web
PPS-Service-Rental 251221_10_23.pptx,1,S000. Opening Slide for PPS – Service – Rental Process (Owned Fleet),S000. Opening Slide for PPS - Service - Rental Process (Owned Fleet),S000,Opening Slide for PPS,../images/Rental/S000.png,,S001,,Go to About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS.,,Welcome to the Process of renting Generator to customers both those that we onw (our Fleet) and those that we source for our customers from other Rental fleet ownere,Slide S000. Opening Slide for PPS   Opening Slide for PPS.,Welcome to the Process of renting Generator to customers both those that we onw (our Fleet) and those that we source for our customers from other Rental fleet ownere,Welcome to the Process of renting Generator to customers both those that we onw (our Fleet) and those that we source for our customers from other Rental fleet ownere,,,Yes,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,2,S001. About Palco Power Systems and Scott Electric and  a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/Rental/S001.png,,S002,,Go to Palco Power Systems,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",Slide S001. About Palco Power Systems and Scott Electric and a Welcome to Training   About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power","Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,3,S002.  Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems - Service to Cash Work Flow,S002,Palco Power Systems,../images/Rental/S002.png,,S003,,Go to Pictorial representation of Quote to Cash similar to Service to Cash,,,Palco Power Systems.,,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",Slide S002. Palco Power Systems   Palco Power Systems.,,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,4,S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service,S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003,Pictorial representation of Quote to Cash similar to Service to Cash,../images/Rental/S003.png,,M1,,Go to Rental SOP,,,Pictorial representation of Quote to Cash similar to Service to Cash.,,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it. This is process displayed by Infor in its process intelligence page. to picotrially dipict the service (quote) to cash process",Slide S003. Pictorial representation of Quote to Cash similar to Service to Cash   Pictorial representation of Quote to Cash similar to Service to Cash.,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS","This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it. This is process displayed by Infor in its process intelligence page. to picotrially dipict the service (quote) to cash process",,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,5,M1. Rental SOP  - PPS Service Rental,M1. Rental SOP - PPS Service Rental,M1,Rental SOP,../images/Rental/M1.png,,S1,,Go to Customer Places an order for a Rental Unit,,,Rental SOP.,"This process cover the steps taken to satisfy the a customer wanting to rent a genertor from us. It starts from the receipt of a request from the customer, understanding their needs and identifying a suitable unit writing up a contract, ensure that the rental would be covered by insurance while at the renter's possesion and finally process the return and final bill.","This process cover the steps taken to satisfy the a customer wanting to rent a genertor from us. It starts from the receipt of a request from the customer, understanding their needs and identifying a suitable unit writing up a contract, ensure that the rental would be covered by insurance while at the renter's possesion and finally process the return and final bill. I also takes into account the process to procure a rental unit from another Rentor to satisfy the customer needs especially when we do not have one that meets the specs or availbility requested.",Slide M1. Rental SOP   Rental SOP.,"This process cover the steps taken to satisfy the a customer wanting to rent a genertor from us. It starts from the receipt of a request from the customer, understanding their needs and identifying a suitable unit writing up a contract, ensure that the rental would be covered by insurance while at the renter's possesion and finally process the return and final bill","This process cover the steps taken to satisfy the a customer wanting to rent a genertor from us. It starts from the receipt of a request from the customer, understanding their needs and identifying a suitable unit writing up a contract, ensure that the rental would be covered by insurance while at the renter's possesion and finally process the return and final bill. I also takes into account the process to procure a rental unit from another Rentor to satisfy the customer needs especially when we do not have one that meets the specs or availbility requested.",,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,6,S1. Customer Places an order for a Rental Unit - PPS Service Rental,S1. Customer Places an order for a Rental Unit - PPS Service Rental,S1,Customer Places an order for a Rental Unit,../images/Rental/S1.png,,S2,,Go to Create Rental Contract,,,Customer Places an order for a Rental Unit.,The customer call or email an order for a rental . The assumption here is that this is a known customer or that the customer has been created in CSD and all credit checks etc have been performed,The customer call or email an order for a rental . The assumption here is that this is a known customer or that the customer has been created in CSD and all credit checks etc have been performed,Slide S1. Customer Places an order for a Rental Unit   Customer Places an order for a Rental Unit.,The customer call or email an order for a rental . The assumption here is that this is a known customer or that the customer has been created in CSD and all credit checks etc have been performed,The customer call or email an order for a rental . The assumption here is that this is a known customer or that the customer has been created in CSD and all credit checks etc have been performed,01_Create Rental Contract,https://scottelectricusa.uap.infor.com/#/content/6a232c55-881c-4e95-a92d-41463a462f1b?contextId=882556fc-990c-47d1-8881-6e7c2d02fd72&bypassGroupFiltering=false,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,7,S2. Create Rental Contract - PPS Service Rental,S2. Create Rental Contract - PPS Service Rental,S2,Create Rental Contract,../images/Rental/S2.png,,D1,,Go to Decision Is a unit in Our Fleet available,,,Create Rental Contract.,Using a rental contract template a contract is created,Using a rental contract template a contract is created,Slide S2. Create Rental Contract   Create Rental Contract.,Using a rental contract template a contract is created,Using a rental contract template a contract is created,01_Create Rental Contract,https://scottelectricusa.uap.infor.com/#/content/6a232c55-881c-4e95-a92d-41463a462f1b?contextId=882556fc-990c-47d1-8881-6e7c2d02fd72&bypassGroupFiltering=false,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,8,D1. Decision Is a unit in Our Fleet available - PPS Service Rental,D1. Decision Is a unit in Our Fleet available - PPS Service Rental,D1,Decision Is a unit in Our Fleet available,../images/Rental/D1.png,Is this unit Available from our fleet,Y1,N1,"Go to Yes, Our Fleet unit is available",Go to No we do not have one of our fleet generator available,Is this unit Available from our fleet,Decision Is a unit in Our Fleet available.,User has to determine if a unit that meets the requirements is available at the time requested by the customer,User has to determine if a unit that meets the requirements is available at the time requested by the customer,Slide D1. Decision Is a unit in Our Fleet available   Decision Is a unit in Our Fleet available.,User has to determine if a unit that meets the requirements is available at the time requested by the customer,User has to determine if a unit that meets the requirements is available at the time requested by the customer,,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,9,"Y1. Yes, Our Fleet unit is available - PPS Service Rental","Y1. Yes, Our Fleet unit is available - PPS Service Rental",Y1,"Yes, Our Fleet unit is available",../images/Rental/Y1.png,,S4,,Go to Add the Owned unit to the contract,,,"Yes, Our Fleet unit is available.",It is determined and confirmed that the unit in our fleet meets the requirement of the customer,It is determined and confirmed that the unit in our fleet meets the requirement of the customer,"Slide Y1. Yes, Our Fleet unit is available   Yes, Our Fleet unit is available.",It is determined and confirmed that the unit in our fleet meets the requirement of the customer,It is determined and confirmed that the unit in our fleet meets the requirement of the customer,,,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
PPS-Service-Rental 251221_10_23.pptx,10,S4. Add the Owned unit to the contract- PPS Service Rental,S4. Add the Owned unit to the contract- PPS Service Rental,S4,Add the Owned unit to the contract,../images/Rental/S4.png,,S8,,Go to Change or Check Billing details,,,Add the Owned unit to the contract.,The unit is added to the contract using the OPM Add rental item is used to add the unit that meets the customers request,The unit is added to the contract using the OPM Add rental item is used to add the unit that meets the customers request,Slide S4. Add the Owned unit to the contract   Add the Owned unit to the contract.,The unit is added to the contract using the OPM Add rental item is used to add the unit that meets the customers request,The unit is added to the contract using the OPM Add rental item is used to add the unit that meets the customers request,02_Add Rental Items,https://scottelectricusa.uap.infor.com/#/content/a9a5712a-571f-41b5-bd78-d16c4fc26a1f?contextId=882556fc-990c-47d1-8881-6e7c2d02fd72&bypassGroupFiltering=false,No,Palco,Service,Rental,, ../faq,PPS_Rental_faq.html,FAQ on Rental,,,,
